iso_country,iata_code,ident,name,municipality,elevation_ft,type,gps_code,coordinates
SX,SXM,TNCM,Princess Juliana Intl. Apt.,Saint Martin,13,large_airport,TNCM,"18.041, -63.108898"
BQ,SAB,TNCS,Juancho E. Yrausquin Apt.,Saba,60,medium_airport,TNCS,"17.645351, -63.220571"
EC,TNW,TNW,Jumandy Apt.,Ahuano,1234,medium_airport,SEJD,"-1.060185, -77.580525"
US,PTA,TPO,Port Alsworth Apt.,Port Alsworth,280,small_airport,PALJ,"60.201681, -154.325863"
AI,AXA,TQPF,Clayton J Lloyd Intl. Apt.,The Valley,127,medium_airport,TQPF,"18.204773, -63.05383"
TR,BGG,TR-0017,Bingöl Apt.,Bingöl,3506,small_airport,LTCU,"38.860131, 40.594489"
TR,COV,TR-0044,Çukurova Intl. Apt.,Tarsus,19,large_airport,LTDB,"36.890908, 35.070522"
MS,MNI,TRPG,John A. Osborne Apt.,Gerald's Park,550,medium_airport,TRPG,"16.791401, -62.193298"
US,TSG,TSG,Tanacross Apt.,Tanacross,1549,small_airport,TSG,"63.374401092499994, -143.335998535"
TT,TAB,TTCP,A.N.R. Robinson Intl. Apt.,Scarborough,38,medium_airport,TTCP,"11.1497, -60.832199"
TT,POS,TTPP,Piarco Intl. Apt.,Port of Spain,58,medium_airport,TTPP,"10.5954, -61.3372"
VG,NGD,TUPA,Captain Auguste George Apt.,Anegada,9,small_airport,TUPA,"18.727734, -64.32852"
VG,EIS,TUPJ,Terrance B. Lettsome Intl. Apt.,Road Town,15,medium_airport,TUPJ,"18.445492, -64.541707"
VG,VIJ,TUPW,Virgin Gorda Apt.,Spanish Town,9,small_airport,TUPW,"18.446399688720703, -64.42749786376953"
VC,SVD,TVSA,Argyle Intl. Apt.,Kingstown,136,medium_airport,TVSA,"13.156695, -61.149945"
VC,BQU,TVSB,J F Mitchell Apt.,Bequia,15,medium_airport,TVSB,"12.9884, -61.262001"
VC,CIW,TVSC,Canouan Apt.,Canouan,11,medium_airport,TVSC,"12.699, -61.3424"
VC,MQS,TVSM,Mustique Apt.,Mustique Island,8,medium_airport,TVSM,"12.8879, -61.180199"
VC,UNI,TVSU,Union Island Intl. Apt.,Union Island,16,medium_airport,TVSU,"12.600135, -61.411945"
TW,DSX,TW-0002,Dongsha Island (Pratas Island) Apt.,Kaohsiung (Cijin - Pratas Island),10,small_airport,RCLM,"20.7066, 116.721001"
TW,CMJ,TW-CMJ,Qimei Apt.,Qimei,63,small_airport,RCCM,"23.213127, 119.417539"
CN,TWC,TWC,Tumxuk Tangwangcheng Apt.,Tumxuk,3566,small_airport,ZWTS,"39.886663, 79.233408"
BM,BDA,TXKF,L.F. Wade Intl. Apt.,Hamilton,12,medium_airport,TXKF,"32.363998, -64.678703"
TZ,GIT,TZ-GIT,Mchauru Apt.,Geita,3955,small_airport,HTRU,"-2.813667, 32.172472"
US,DBS,U41,Dubois Municipal Apt.,Dubois,5123,small_airport,KU41,"44.162057, -112.220581"
UA,MXR,UA-0049,Myrhorod Air Base,Myrhorod,400,small_airport,UKBM,"49.932, 33.641"
UA,KHU,UA-0050,Kakhnovka Airfield,Kremenchuk,266,small_airport,UKHK,"49.136799, 33.477893"
UA,KCP,UA-0107,Kam'yanets'-Podil's'kyi Airfield,Kamyan'ka,700,small_airport,UKLK,"48.695631, 26.609471"
KZ,ALA,UAAA,Almaty Intl. Apt.,Almaty,2234,large_airport,UAAA,"43.354267, 77.042828"
KZ,BXH,UAAH,Balkhash Apt.,Balkhash,1446,medium_airport,UAAH,"46.894246, 75.004533"
KZ,BXJ,UAAR,Boralday Apt.,Boralday,2313,small_airport,UAAR,"43.352052, 76.883039"
KZ,TDK,UAAT,Taldykorgan Apt.,Taldykorgan,1925,medium_airport,UAAT,"45.12255, 78.442758"
KZ,NQZ,UACC,Nursultan Nazarbayev Intl. Apt.,Astana,1165,large_airport,UACC,"51.027035, 71.467094"
KZ,KOV,UACK,Kokshetau Apt.,Kokshetau,900,medium_airport,UACK,"53.329102, 69.594597"
KZ,PPK,UACP,Petropavl Apt.,Petropavl,453,medium_airport,UACP,"54.774702, 69.183273"
KZ,DMB,UADD,Taraz Apt.,Taraz,2184,medium_airport,UADD,"42.853599548339844, 71.30359649658203"
PG,UAE,UAE,Mount Aue Apt.,,4250,small_airport,AYAE,"-6.23416666667, 144.664722222"
KG,IKU,UAFL,Issyk-Kul Intl. Apt.,Tamchy,5425,medium_airport,UCFL,"42.585584, 76.701181"
KG,FRU,UAFM,Manas Intl. Apt.,Bishkek,2058,large_airport,UCFM,"43.0612983704, 74.4776000977"
KG,OSS,UAFO,Osh Apt.,Osh,2927,medium_airport,UCFO,"40.6090011597, 72.793296814"
KZ,CIT,UAII,Shymkent Apt.,Shymkent,1385,medium_airport,UAII,"42.364200592041016, 69.47889709472656"
KZ,HSA,UAIT,Hazrat Sultan Intl. Apt.,Turkıstan,951,medium_airport,UAIT,"43.313126, 68.549881"
KZ,DZN,UAKD,Zhezkazgan National Apt.,Zhezkazgan,1250,medium_airport,UAKD,"47.708953, 67.738094"
KZ,KGF,UAKK,Sary-Arka Apt.,Karaganda,1765,medium_airport,UAKK,"49.670799, 73.334396"
KZ,KZO,UAOO,Kyzylorda Apt.,Kyzylorda,433,small_airport,UAOO,"44.706902, 65.592499"
KZ,URA,UARR,Uralsk Apt.,Uralsk,125,medium_airport,UARR,"51.15079879760742, 51.54309844970703"
KZ,EKB,UASB,Ekibastuz Apt.,Ekibastuz,621,medium_airport,UASB,"51.590999603271484, 75.21499633789062"
KZ,UKK,UASK,Ust-Kamenogorsk Apt.,Ust-Kamenogorsk (Oskemen),939,medium_airport,UASK,"50.036571, 82.493477"
KZ,PWQ,UASP,Pavlodar Apt.,Pavlodar,410,medium_airport,UASP,"52.19499969482422, 77.07389831542969"
KZ,PLX,UASS,Semey Apt.,Semey,761,medium_airport,UASS,"50.351295, 80.234398"
KZ,SZI,UASZ,Zaysan Apt.,Zaysan,1877,small_airport,UASZ,"47.487491, 84.887675"
KZ,SCO,UATE,Aktau Apt.,Aktau,73,medium_airport,UATE,"43.860093, 51.09086"
KZ,GUW,UATG,Atyrau Intl. Apt.,Atyrau,-72,medium_airport,UATG,"47.122559, 51.819321"
KZ,AKX,UATT,Aktobe Apt.,Aktobe,738,medium_airport,UATT,"50.2458, 57.206699"
KZ,AYK,UAUR,Arkalyk North Apt.,Arkalyk,1266,small_airport,UAUR,"50.318599700927734, 66.95279693603516"
KZ,KSN,UAUU,Kostanay West Apt.,Kostanay,595,medium_airport,UAUU,"53.20690155029297, 63.55030059814453"
AZ,GYD,UBBB,Heydar Aliyev Intl. Apt.,Baku,10,large_airport,UBBB,"40.467498779296875, 50.04669952392578"
AZ,GNJ,UBBG,Ganja Intl. Apt.,Ganja,1083,medium_airport,UBBG,"40.737701, 46.3176"
AZ,LLK,UBBL,Lankaran Intl. Apt.,Lankaran,30,small_airport,UBBL,"38.757919, 48.807042"
AZ,NAJ,UBBN,Nakhchivan Apt.,Nakhchivan,2863,medium_airport,UBBN,"39.18880081176758, 45.45840072631836"
AZ,GBB,UBBQ,Gabala Intl. Apt.,Gabala,935,medium_airport,UBBQ,"40.808617, 47.725389"
AZ,ZTU,UBBY,Zaqatala Intl. Apt.,Zaqatala,1279,medium_airport,UBBY,"41.557823, 46.669464"
AZ,ZZE,UBBZ,Zangilan Intl. Apt.,Zangilan,1320,small_airport,UBBZ,"39.11443, 46.74392"
AZ,YLV,UBEE,Yevlakh Apt.,Yevlakh,49,small_airport,UBEE,"40.631901, 47.141899"
PG,UBI,UBI,Buin Apt.,Buin,230,small_airport,AYUI,"-6.72916666667, 155.683333333"
AM,LWN,UDSG,Shirak Intl. Apt.,Gyumri,5000,medium_airport,UDSG,"40.750401, 43.859299"
AM,EVN,UDYZ,Zvartnots Intl. Apt.,Yerevan,2838,large_airport,UDYZ,"40.1473007202, 44.3959007263"
RU,BQJ,UEBB,Batagay Apt.,Batagay,696,small_airport,UEBB,"67.648002624512, 134.69500732422"
RU,SUK,UEBS,Sakkyryr Apt.,Batagay-Alyta,1686,small_airport,UEBS,"67.792, 130.394"
RU,UKG,UEBT,Ust-Kuyga Apt.,Ust-Kuyga,327,small_airport,UEBT,"70.011002, 135.645004"
RU,TLK,UECT,Talakan Apt.,Talakan Oil Field,1329,small_airport,UECT,"59.876389, 111.044444"
RU,ADH,UEEA,Aldan Apt.,Aldan,2241,small_airport,UEEA,"58.60279846191406, 125.40899658203125"
RU,YKS,UEEE,Yakutsk Apt.,Yakutsk,325,medium_airport,UEEE,"62.093299865722656, 129.77099609375"
RU,NER,UELL,Chulman Apt.,Neryungri,2812,medium_airport,UELL,"56.913898468018, 124.91400146484"
RU,MQJ,UEMA,Moma Apt.,Khonuu,656,medium_airport,UEMA,"66.450861, 143.261551"
RU,GYG,UEMM,Magan Apt.,Magan,577,medium_airport,UEMM,"62.103484, 129.545288"
RU,OLZ,UEMO,Olyokminsk Apt.,Olyokminsk,656,medium_airport,UEMO,"60.401833, 120.476094"
RU,USR,UEMT,Ust-Nera Apt.,Ust-Nera,1805,medium_airport,UEMT,"64.550003051758, 143.11500549316"
RU,UMS,UEMU,Ust-Maya Apt.,Ust-Maya,561,small_airport,UEMU,"60.356998443604, 134.43499755859"
RU,VHV,UENI,Verkhnevilyuisk Apt.,Verkhnevilyuisk,411,small_airport,UENI,"63.458057403564, 120.26916503906"
RU,NYR,UENN,Nyurba Apt.,Nyurba,394,small_airport,UENN,"63.296703, 118.341953"
RU,SUY,UENS,Suntar Apt.,Suntar,452,small_airport,UENS,"62.185001373291, 117.63500213623"
RU,VYI,UENW,Vilyuisk Apt.,Vilyuisk,361,medium_airport,UENW,"63.756668, 121.693336"
RU,ULK,UERL,Lensk Apt.,Lensk,801,medium_airport,UERL,"60.7206001282, 114.825996399"
RU,ONK,UERO,Olenyok Apt.,Olenyok,847,small_airport,UERO,"68.514999, 112.480003"
RU,PYJ,UERP,Polyarny Apt.,Yakutia,1660,medium_airport,UERP,"66.400398, 112.029999"
RU,MJZ,UERR,Mirny Apt.,Mirny,1156,medium_airport,UERR,"62.534698486328125, 114.03900146484375"
RU,SYS,UERS,Saskylakh Apt.,Saskylakh,,medium_airport,UERS,"71.927902, 114.080002"
RU,BGN,UESG,Belaya Gora Apt.,Belaya Gora,118,medium_airport,UESG,"68.556227, 146.22784"
RU,SEK,UESK,Srednekolymsk Apt.,Srednekolymsk,60,medium_airport,UESK,"67.4805, 153.7364"
RU,CKH,UESO,Chokurdakh Apt.,Chokurdah,151,medium_airport,UESO,"70.6231, 147.901993"
RU,CYX,UESS,Cherskiy Apt.,Cherskiy,20,medium_airport,UESS,"68.7406005859375, 161.33799743652344"
RU,IKS,UEST,Tiksi Apt.,Tiksi,26,medium_airport,UEST,"71.697700500488, 128.90299987793"
RU,ZKP,UESU,Zyryanka Apt.,Zyryanka,140,medium_airport,UESU,"65.7485, 150.8889"
UG,KXO,UG-0001,Kisoro Apt.,Kisoro,6200,small_airport,HUKI,"-1.2837, 29.7197"
UG,OYG,UG-OYG,Moyo Apt.,Moyo,3250,small_airport,HUMY,"3.6444001197815, 31.762762069702"
GE,KUT,UGKO,David the Builder Kutaisi Intl. Apt.,Kopitnari,223,medium_airport,UGKO,"42.176768, 42.482393"
GE,BUS,UGSB,Batumi Intl. Apt.,Batumi,105,medium_airport,UGSB,"41.610298, 41.599701"
GE,SUI,UGSS,Sukhumi Babushara /  Vladislav Ardzinba Intl. Apt.,Sukhumi,53,medium_airport,UGSS,"42.8582, 41.128101"
GE,TBS,UGTB,Tbilisi Intl. Apt.,Tbilisi,1624,large_airport,UGTB,"41.669201, 44.9547"
RU,BQS,UHBB,Ignatyevo Apt.,Blagoveschensk,638,medium_airport,UHBB,"50.42539978027344, 127.41200256347656"
RU,EYA,UHBE,Zeya Apt.,Zeya,905,small_airport,UHBE,"53.687023, 127.090972"
RU,TYD,UHBW,Tynda Apt.,Tynda,2001,small_airport,UHBW,"55.284936, 124.77901"
RU,KHV,UHHH,Khabarovsk Novy Apt.,Khabarovsk,244,medium_airport,UHHH,"48.528338, 135.188588"
RU,KXK,UHKK,Komsomolsk-on-Amur Apt.,Komsomolsk-on-Amur,92,medium_airport,UHKK,"50.409000396728516, 136.9340057373047"
RU,GVN,UHKM,Sovetskaya Gavan (Maygatka) Apt.,Sovetskaya Gavan,768,medium_airport,UHKM,"48.925067, 140.035348"
RU,DYR,UHMA,Ugolny Yuri Ryktheu Apt.,Anadyr,194,medium_airport,UHMA,"64.734902, 177.740997"
RU,PVS,UHMD,Provideniya Bay Apt.,Chukotka,72,medium_airport,UHMD,"64.37809753417969, -173.2429962158203"
RU,KPW,UHMK,Keperveem Apt.,Keperveem,623,medium_airport,UHMK,"67.845001, 166.139999"
RU,GDX,UHMM,Sokol Apt.,Magadan,574,medium_airport,UHMM,"59.9109992980957, 150.72000122070312"
RU,KVM,UHMO,Markovo Apt.,Markovo,75,small_airport,UHMO,"64.665446, 170.417626"
RU,PWE,UHMP,Pevek Apt.,Apapelgino,11,medium_airport,UHMP,"69.783302, 170.597"
RU,SWV,UHMW,Severo-Evensk Apt.,Evensk,32,medium_airport,UHMW,"61.921786, 159.229059"
RU,BQG,UHNB,Bogorodskoye Apt.,Bogorodskoye,150,small_airport,UHNB,"52.381041, 140.449378"
RU,NLI,UHNN,Nikolayevsk-na-Amure Apt.,Nikolayevsk-na-Amure Airport,170,medium_airport,UHNN,"53.154999, 140.649994"
RU,OHO,UHOO,Okhotsk Apt.,Okhotsk,45,medium_airport,UHOO,"59.410065, 143.056503"
RU,PKC,UHPP,Yelizovo Apt.,Petropavlovsk-Kamchatsky,131,medium_airport,UHPP,"53.16764, 158.451863"
RU,BVV,UHSB,Burevestnik Apt.,Kurilsk,79,small_airport,UHSB,"44.919998, 147.621994"
RU,OHH,UHSH,Okha Apt.,Okha,123,small_airport,UHSH,"53.517656, 142.879772"
RU,ITU,UHSI,Iturup Apt.,Kurilsk,387,small_airport,UHSI,"45.256389, 147.95549"
RU,EKS,UHSK,Shakhtyorsk Apt.,Shakhtyorsk,50,small_airport,UHSK,"49.1903, 142.082993"
RU,DEE,UHSM,Yuzhno-Kurilsk Mendeleyevo Apt.,Yuzhno-Kurilsk,584,small_airport,UHSM,"43.961066, 145.684977"
RU,ZZO,UHSO,Zonalnoye Apt.,Tymovskoye,479,small_airport,UHSO,"50.6692008972, 142.761001587"
